0	1	2
118448	4619485	1
118448	8296968	2
118448	1343427	3
118448	5722337	4
118448	3749001	5
118448	8763530	6
118448	1196647	7
118448	6743795	8
118448	68659	9
118448	2500376	10
118448	2643631	11
118448	8763531	12
118448	7815716	13
118448	3778768	14
118448	6857878	15
118448	8763532	16
118448	3221073	17
118448	7815720	18
118448	4602937	19
118448	2513932	20
118448	2000771	21
118448	4015037	22
118448	3512743	23
118448	2113828	24
118448	1186200	25
118448	4015032	26
118448	8804731	27
118448	6743800	28
118448	5222528	29
118448	6183744	30
118448	1186208	31
118448	4619483	32
118448	4015034	33
118448	7815718	34
118448	4602939	35
118448	7815714	36
118448	8804733	37
118448	4602943	38
118448	3778766	39
118448	1186207	40
118448	4015036	41
118448	7071635	42
118448	1186203	43
118448	8606103	44
118448	4602941	45
118448	7071637	46
118448	2513934	47
118448	4619487	48
118448	6743797	49
118448	6857873	50
118448	4619482	51
118448	3749003	52
118448	1689912	53
118448	2000776	54
118448	2000773	55
118448	4544496	56
118448	6572402	57
118448	751733	58
118448	8028395	59
118448	4602938	60
118448	751734	61
118448	7146267	62
118448	2513931	63
118448	1186204	64
118448	2584095	65
118448	2000775	66
118448	6448234	67
118448	3749000	68
118448	1186202	69
118448	8763533	70
118448	6585473	71
118448	751729	72
118448	1914766	73
118448	8763527	74
118448	6342032	75
118448	8606105	76
118448	4602945	77
118448	4500979	78
118448	3960407	79
118448	6492233	80
118448	644412	81
118448	7071641	82
118448	38984	83
118448	3512739	84
118448	2144595	85
118448	5327575	86
118448	6448233	87
118448	8799631	88
118448	4544497	89
118448	7586798	90
118448	2468739	91
118448	8763525	92
118448	3918996	93
118448	644415	94
118448	1469139	95
118448	8740368	96
118448	3778764	97
118448	3618180	98
118448	7508318	99
118448	6770209	100
