0	1	2
118448	4619485	1
118448	8296968	2
118448	1343427	3
118448	5722337	4
118448	3749001	5
118448	8763530	6
118448	1196647	7
118448	6743795	8
118448	68659	9
118448	2500376	10
118448	2643631	11
118448	8763531	12
118448	7815716	13
118448	3778768	14
118448	6857878	15
118448	8763532	16
118448	3221073	17
118448	7815720	18
118448	4602937	19
118448	2513932	20
118448	2000771	21
118448	4015037	22
118448	3512743	23
118448	2113828	24
118448	1186200	25
118448	4015032	26
118448	8804731	27
118448	6743800	28
118448	5222528	29
118448	6183744	30
118448	1186208	31
118448	4619483	32
118448	4015034	33
118448	7815718	34
118448	4602939	35
118448	7815714	36
118448	8804733	37
118448	4602943	38
118448	3778766	39
118448	1186207	40
118448	4015036	41
118448	7071635	42
118448	1186203	43
118448	8606103	44
118448	4602941	45
118448	7071637	46
118448	2513934	47
118448	4619487	48
118448	6743797	49
118448	6857873	50
118448	4619482	51
118448	3749003	52
118448	1689912	53
118448	2000776	54
118448	2000773	55
118448	4544496	56
118448	6572402	57
118448	751733	58
118448	8028395	59
118448	4602938	60
118448	751734	61
118448	7146267	62
118448	2513931	63
118448	1186204	64
118448	2584095	65
118448	2000775	66
118448	6448234	67
118448	3749000	68
118448	1186202	69
118448	8763533	70
118448	6585473	71
118448	751729	72
118448	1914766	73
118448	8763527	74
118448	6342032	75
118448	8606105	76
118448	4602945	77
118448	4500979	78
118448	3960407	79
118448	6492233	80
118448	644412	81
118448	7071641	82
118448	38984	83
118448	3512739	84
118448	2144595	85
118448	5327575	86
118448	6448233	87
118448	8799631	88
118448	4544497	89
118448	7586798	90
118448	2468739	91
118448	8763525	92
118448	3918996	93
118448	644415	94
118448	1469139	95
118448	8740368	96
118448	3778764	97
118448	3618180	98
118448	7508318	99
118448	6770209	100
118448	4619485	1
118448	8296968	2
118448	1343427	3
118448	5722337	4
118448	3749001	5
118448	8763530	6
118448	1196647	7
118448	6743795	8
118448	68659	9
118448	2500376	10
118448	2643631	11
118448	8763531	12
118448	7815716	13
118448	3778768	14
118448	6857878	15
118448	8763532	16
118448	3221073	17
118448	7815720	18
118448	4602937	19
118448	2513932	20
118448	2000771	21
118448	4015037	22
118448	3512743	23
118448	2113828	24
118448	1186200	25
118448	4015032	26
118448	8804731	27
118448	6743800	28
118448	5222528	29
118448	6183744	30
118448	1186208	31
118448	4619483	32
118448	4015034	33
118448	7815718	34
118448	4602939	35
118448	7815714	36
118448	8804733	37
118448	4602943	38
118448	3778766	39
118448	1186207	40
118448	4015036	41
118448	7071635	42
118448	1186203	43
118448	8606103	44
118448	4602941	45
118448	7071637	46
118448	2513934	47
118448	4619487	48
118448	6743797	49
118448	6857873	50
118448	4619482	51
118448	3749003	52
118448	1689912	53
118448	2000776	54
118448	2000773	55
118448	4544496	56
118448	6572402	57
118448	751733	58
118448	8028395	59
118448	4602938	60
118448	751734	61
118448	7146267	62
118448	2513931	63
118448	1186204	64
118448	2584095	65
118448	2000775	66
118448	6448234	67
118448	3749000	68
118448	1186202	69
118448	8763533	70
118448	6585473	71
118448	751729	72
118448	1914766	73
118448	8763527	74
118448	6342032	75
118448	8606105	76
118448	4602945	77
118448	4500979	78
118448	3960407	79
118448	6492233	80
118448	644412	81
118448	7071641	82
118448	38984	83
118448	3512739	84
118448	2144595	85
118448	5327575	86
118448	6448233	87
118448	8799631	88
118448	4544497	89
118448	7586798	90
118448	2468739	91
118448	8763525	92
118448	3918996	93
118448	644415	94
118448	1469139	95
118448	8740368	96
118448	3778764	97
118448	3618180	98
118448	7508318	99
118448	6770209	100
92542	7072003	1
92542	4508392	2
92542	3723162	3
92542	3723160	4
92542	1157800	5
92542	504900	6
92542	3723159	7
92542	2636967	8
92542	3723155	9
92542	6979032	10
92542	2668436	11
92542	1444356	12
92542	6049995	13
92542	3892418	14
92542	2606452	15
92542	347556	16
92542	3723158	17
92542	7398406	18
92542	562009	19
92542	3960482	20
92542	2270585	21
92542	1388862	22
92542	852243	23
92542	3960479	24
92542	1218472	25
92542	3960478	26
92542	4432676	27
92542	1388865	28
92542	7071998	29
92542	6501851	30
92542	7167129	31
92542	7712094	32
92542	661882	33
92542	1470216	34
92542	4201765	35
92542	5303227	36
92542	8359760	37
92542	2525442	38
92542	3733194	39
92542	2614857	40
92542	3733195	41
92542	1668672	42
92542	7658424	43
92542	7651509	44
92542	838771	45
92542	6881854	46
92542	510558	47
92542	6881855	48
92542	7072001	49
92542	2683692	50
92542	6766698	51
92542	8624723	52
92542	1907695	53
92542	8359761	54
92542	5984118	55
92542	2642190	56
92542	1792110	57
92542	6501856	58
92542	2390542	59
92542	2732048	60
92542	7282869	61
92542	8207999	62
92542	3075962	63
92542	5260305	64
92542	2972099	65
92542	3441224	66
92542	2614862	67
92542	8078438	68
92542	8359758	69
92542	7036239	70
92542	8359755	71
92542	4470512	72
92542	8117337	73
92542	8157381	74
92542	3537608	75
92542	2103524	76
92542	3537614	77
92542	4269259	78
92542	3537607	79
92542	6875372	80
92542	4391397	81
92542	2290151	82
92542	6540236	83
92542	6875373	84
92542	5060911	85
92542	3423804	86
92542	3537612	87
92542	3740970	88
92542	3423797	89
92542	1141684	90
92542	8145739	91
92542	8004438	92
92542	1322594	93
92542	6772578	94
92542	803959	95
92542	6772584	96
92542	6604812	97
92542	811056	98
92542	6437261	99
92542	5179252	100
206117	7072158	1
206117	7072154	2
206117	7072155	3
206117	7072159	4
206117	7072160	5
206117	7072162	6
206117	7072161	7
206117	7072156	8
206117	7072153	9
206117	1996531	10
206117	1664264	11
206117	1996528	12
206117	1996535	13
206117	4836594	14
206117	1664259	15
206117	5426636	16
206117	1664266	17
206117	8082810	18
206117	2845235	19
206117	8030996	20
206117	8371803	21
206117	1202833	22
206117	5839183	23
206117	5211863	24
206117	7992298	25
206117	3583041	26
206117	5137773	27
206117	2961432	28
206117	513162	29
206117	1979581	30
206117	2019868	31
206117	1839403	32
206117	8052988	33
206117	1996532	34
206117	1996529	35
206117	513158	36
206117	5907628	37
206117	7634987	38
206117	7634989	39
206117	8467082	40
206117	8012523	41
206117	4836600	42
206117	1996534	43
206117	3162755	44
206117	4743084	45
206117	8012517	46
206117	7634990	47
206117	1123160	48
206117	825585	49
206117	3241016	50
206117	7634991	51
206117	2961437	52
206117	6430633	53
206117	7426485	54
206117	3241011	55
206117	1996526	56
206117	7083431	57
206117	5430536	58
206117	7785652	59
206117	6942535	60
206117	1103055	61
206117	2961436	62
206117	2961438	63
206117	3241017	64
206117	513163	65
206117	6942533	66
206117	2571886	67
206117	1822047	68
206117	3640095	69
206117	6609296	70
206117	8742813	71
206117	7947731	72
206117	849217	73
206117	849221	74
206117	1664261	75
206117	6942528	76
206117	7812828	77
206117	6338148	78
206117	6338146	79
206117	7932301	80
206117	7812830	81
206117	849220	82
206117	3251507	83
206117	4618946	84
206117	5174414	85
206117	849216	86
206117	8467083	87
206117	7785654	88
206117	6338147	89
206117	7083429	90
206117	7830129	91
206117	1879473	92
206117	7932299	93
206117	849225	94
206117	6942529	95
206117	2207632	96
206117	5030736	97
206117	2207635	98
206117	3607040	99
206117	7932302	100
206117	7072158	1
206117	7072154	2
206117	7072155	3
206117	7072159	4
206117	7072160	5
206117	7072162	6
206117	7072161	7
206117	7072156	8
206117	7072153	9
206117	1996531	10
206117	1664264	11
206117	1996528	12
206117	1996535	13
206117	4836594	14
206117	1664259	15
206117	5426636	16
206117	1664266	17
206117	8082810	18
206117	2845235	19
206117	8030996	20
206117	8371803	21
206117	1202833	22
206117	5839183	23
206117	5211863	24
206117	7992298	25
206117	3583041	26
206117	5137773	27
206117	2961432	28
206117	513162	29
206117	1979581	30
206117	2019868	31
206117	1839403	32
206117	8052988	33
206117	1996532	34
206117	1996529	35
206117	513158	36
206117	5907628	37
206117	7634987	38
206117	7634989	39
206117	8467082	40
206117	8012523	41
206117	4836600	42
206117	1996534	43
206117	3162755	44
206117	4743084	45
206117	8012517	46
206117	7634990	47
206117	1123160	48
206117	825585	49
206117	3241016	50
206117	7634991	51
206117	2961437	52
206117	6430633	53
206117	7426485	54
206117	3241011	55
206117	1996526	56
206117	7083431	57
206117	5430536	58
206117	7785652	59
206117	6942535	60
206117	1103055	61
206117	2961436	62
206117	2961438	63
206117	3241017	64
206117	513163	65
206117	6942533	66
206117	2571886	67
206117	1822047	68
206117	3640095	69
